Date : 2021-05-22 20:13:44
Directory : /Users/tyshowers/Dropbox/angular/notch-app/projects
Total : 542 files,  9804 codes, 781 comments, 1827 blanks, all 12412 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| lick-marketing-about-product6/src/lib                                                                                                     |          6 |         91 |          3 |         28 |        122 |
| lick-marketing-about-product7                                                                                                             |         16 |        245 |         19 |         55 |        319 |
| lick-marketing-about-product7/src                                                                                                         |          8 |        113 |          7 |         38 |        158 |
| lick-marketing-about-product7/src/lib                                                                                                     |          6 |         96 |          0 |         32 |        128 |
| lick-marketing-cart                                                                                                                       |         15 |        218 |         19 |         46 |        283 |
| lick-marketing-cart/src                                                                                                                   |          7 |         86 |          7 |         29 |        122 |
| lick-marketing-cart/src/lib                                                                                                               |          5 |         64 |          0 |         23 |         87 |
| lick-marketing-catalog1                                                                                                                   |         15 |        218 |         19 |         46 |        283 |
| lick-marketing-catalog1/src                                                                                                               |          7 |         86 |          7 |         29 |        122 |
| lick-marketing-catalog1/src/lib                                                                                                           |          5 |         64 |          0 |         23 |         87 |
| lick-marketing-contact-us1                                                                                                                |         16 |        300 |         21 |         54 |        375 |
| lick-marketing-contact-us1/src                                                                                                            |          8 |        168 |          9 |         37 |        214 |
| lick-marketing-contact-us1/src/lib                                                                                                        |          6 |        151 |          2 |         31 |        184 |
| lick-marketing-faq1                                                                                                                       |         16 |        279 |         20 |         54 |        353 |
| lick-marketing-faq1/src                                                                                                                   |          8 |        147 |          8 |         37 |        192 |
| lick-marketing-faq1/src/lib                                                                                                               |          6 |        130 |          1 |         31 |        162 |
| lick-marketing-faq2                                                                                                                       |         16 |        244 |         19 |         54 |        317 |
| lick-marketing-faq2/src                                                                                                                   |          8 |        112 |          7 |         37 |        156 |
| lick-marketing-faq2/src/lib                                                                                                               |          6 |         95 |          0 |         31 |        126 |
| lick-marketing-faq3                                                                                                                       |         16 |        283 |         22 |         56 |        361 |
| lick-marketing-faq3/src                                                                                                                   |          8 |        151 |         10 |         39 |        200 |
| lick-marketing-faq3/src/lib                                                                                                               |          6 |        134 |          3 |         33 |        170 |
| lick-marketing-features1                                                                                                                  |         16 |        245 |         22 |         53 |        320 |
| lick-marketing-features1/src                                                                                                              |          8 |        113 |         10 |         36 |        159 |
| lick-marketing-features1/src/lib                                                                                                          |          6 |         96 |          3 |         30 |        129 |
| lick-marketing-features2                                                                                                                  |         17 |        245 |         22 |         54 |        321 |
| lick-marketing-features2/src                                                                                                              |          9 |        113 |         10 |         37 |        160 |
| lick-marketing-features2/src/lib                                                                                                          |          7 |         96 |          3 |         31 |        130 |
| lick-marketing-features3                                                                                                                  |         16 |        277 |         25 |         64 |        366 |
| lick-marketing-features3/src                                                                                                              |          8 |        145 |         13 |         47 |        205 |
| lick-marketing-features3/src/lib                                                                                                          |          6 |        128 |          6 |         41 |        175 |
| lick-marketing-features4                                                                                                                  |         16 |        261 |         23 |         55 |        339 |
| lick-marketing-features4/src                                                                                                              |          8 |        129 |         11 |         38 |        178 |
| lick-marketing-features4/src/lib                                                                                                          |          6 |        112 |          4 |         32 |        148 |
| lick-marketing-features5                                                                                                                  |         16 |        245 |         22 |         54 |        321 |
| lick-marketing-features5/src                                                                                                              |          8 |        113 |         10 |         37 |        160 |
| lick-marketing-features5/src/lib                                                                                                          |          6 |         96 |          3 |         31 |        130 |
| lick-marketing-features6                                                                                                                  |         15 |        218 |         19 |         46 |        283 |
| lick-marketing-features6/src                                                                                                              |          7 |         86 |          7 |         29 |        122 |
| lick-marketing-features6/src/lib                                                                                                          |          5 |         64 |          0 |         23 |         87 |
| lick-marketing-footer1                                                                                                                    |         16 |        293 |         19 |         58 |        370 |
| lick-marketing-footer1/src                                                                                                                |          8 |        161 |          7 |         41 |        209 |
| lick-marketing-footer1/src/lib                                                                                                            |          6 |        144 |          0 |         35 |        179 |
| lick-marketing-how-to                                                                                                                     |         16 |        242 |         22 |         52 |        316 |
| lick-marketing-how-to/src                                                                                                                 |          8 |        110 |         10 |         35 |        155 |
| lick-marketing-how-to/src/lib                                                                                                             |          6 |         93 |          3 |         29 |        125 |
| lick-marketing-video1                                                                                                                     |         16 |        229 |         24 |         52 |        305 |
| lick-marketing-video1/src                                                                                                                 |          8 |         97 |         12 |         35 |        144 |
| lick-marketing-video1/src/lib                                                                                                             |          6 |         80 |          5 |         29 |        114 |
| lick-marketing-video2                                                                                                                     |         16 |        230 |         19 |         48 |        297 |
| lick-marketing-video2/src                                                                                                                 |          8 |         98 |          7 |         31 |        136 |
| lick-marketing-video2/src/lib                                                                                                             |          6 |         81 |          0 |         25 |        106 |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                  | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/README.md                                                        | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/karma.conf.js                                                    | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/ng-package.json                                                  | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/package.json                                                     | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/src/lib/lick-app-widget-feed.component.html                      | HTML       |         51 |         20 |          1 |         72 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/src/lib/lick-app-widget-feed.component.spec.ts                   | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/src/lib/lick-app-widget-feed.component.ts                        | TypeScript |        122 |          0 |         18 |        140 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/src/lib/lick-app-widget-feed.module.ts                           | TypeScript |         17 |          0 |          2 |         19 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/src/lib/lick-app-widget-feed.service.spec.ts                     | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/src/lib/lick-app-widget-feed.service.ts                          | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/src/public-api.ts                                                | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/src/test.ts                                                      | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/tsconfig.lib.json                                                | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/tsconfig.lib.prod.json                                           | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/tsconfig.spec.json                                               | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-feed/tslint.json                                                      | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/README.md                                                 | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/karma.conf.js                                             | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/ng-package.json                                           | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/package.json                                              | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/src/lib/lick-app-widget-list-badges.component.html        | HTML       |         10 |          2 |          2 |         14 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/src/lib/lick-app-widget-list-badges.component.spec.ts     | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/src/lib/lick-app-widget-list-badges.component.ts          | TypeScript |         57 |          0 |          6 |         63 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/src/lib/lick-app-widget-list-badges.module.ts             | TypeScript |         15 |          0 |          2 |         17 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/src/lib/lick-app-widget-list-badges.service.spec.ts       | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/src/lib/lick-app-widget-list-badges.service.ts            | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/src/public-api.ts                                         | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/src/test.ts                                               | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/tsconfig.lib.json                                         | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/tsconfig.lib.prod.json                                    | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/tsconfig.spec.json                                        | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-badges/tslint.json                                               | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/README.md                                                  | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/karma.conf.js                                              | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/ng-package.json                                            | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/package.json                                               | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/src/lib/lick-app-widget-list-order.component.html          | HTML       |         32 |          3 |          2 |         37 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/src/lib/lick-app-widget-list-order.component.spec.ts       | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/src/lib/lick-app-widget-list-order.component.ts            | TypeScript |         90 |          0 |          6 |         96 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/src/lib/lick-app-widget-list-order.module.ts               | TypeScript |         15 |          0 |          2 |         17 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/src/lib/lick-app-widget-list-order.service.spec.ts         | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/src/lib/lick-app-widget-list-order.service.ts              | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/src/public-api.ts                                          | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/src/test.ts                                                | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/tsconfig.lib.json                                          | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/tsconfig.lib.prod.json                                     | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/tsconfig.spec.json                                         | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-list-order/tslint.json                                                | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/README.md                                                     | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/karma.conf.js                                                 | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/ng-package.json                                               | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/package.json                                                  | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/src/lib/lick-app-widget-product.component.spec.ts             | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/src/lib/lick-app-widget-product.component.ts                  | TypeScript |         16 |          0 |          5 |         21 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/src/lib/lick-app-widget-product.module.ts                     | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/src/lib/lick-app-widget-product.service.spec.ts               | TypeScript |         12 |          0 |          5 |         17 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/src/lib/lick-app-widget-product.service.ts                    | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/src/public-api.ts                                             | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/src/test.ts                                                   | TypeScript |         19 |          4 |          4 |         27 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/tsconfig.lib.json                                             | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/tsconfig.lib.prod.json                                        | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/tsconfig.spec.json                                            | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-product/tslint.json                                                   | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/README.md                                                     | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/karma.conf.js                                                 | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/ng-package.json                                               | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/package.json                                                  | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/src/lib/lick-app-widget-stats12.component.html                | HTML       |         89 |          8 |          1 |         98 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/src/lib/lick-app-widget-stats12.component.spec.ts             | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/src/lib/lick-app-widget-stats12.component.ts                  | TypeScript |        119 |          0 |         11 |        130 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/src/lib/lick-app-widget-stats12.module.ts                     | TypeScript |         15 |          0 |          2 |         17 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/src/lib/lick-app-widget-stats12.service.spec.ts               | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/src/lib/lick-app-widget-stats12.service.ts                    | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/src/public-api.ts                                             | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/src/test.ts                                                   | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/tsconfig.lib.json                                             | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/tsconfig.lib.prod.json                                        | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/tsconfig.spec.json                                            | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats12/tslint.json                                                   | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/README.md                                                     | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/karma.conf.js                                                 | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/ng-package.json                                               | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/package.json                                                  | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/src/lib/lick-app-widget-stats13.component.html                | HTML       |         79 |          0 |          9 |         88 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/src/lib/lick-app-widget-stats13.component.spec.ts             | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/src/lib/lick-app-widget-stats13.component.ts                  | TypeScript |         24 |          0 |          6 |         30 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/src/lib/lick-app-widget-stats13.module.ts                     | TypeScript |         15 |          0 |          2 |         17 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/src/lib/lick-app-widget-stats13.service.spec.ts               | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/src/lib/lick-app-widget-stats13.service.ts                    | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/src/public-api.ts                                             | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/src/test.ts                                                   | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/tsconfig.lib.json                                             | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/tsconfig.lib.prod.json                                        | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/tsconfig.spec.json                                            | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats13/tslint.json                                                   | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/README.md                                                     | Markdown   |         13 |          0 |         12 |         25 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/karma.conf.js                                                 | JavaScript |         37 |          6 |          2 |         45 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/ng-package.json                                               | JSON       |          7 |          0 |          0 |          7 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/package.json                                                  | JSON       |         11 |          0 |          0 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/src/lib/lick-app-widget-stats14.component.html                | HTML       |        159 |         27 |         15 |        201 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/src/lib/lick-app-widget-stats14.component.spec.ts             | TypeScript |         20 |          0 |          6 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/src/lib/lick-app-widget-stats14.component.ts                  | TypeScript |        571 |          0 |         20 |        591 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/src/lib/lick-app-widget-stats14.module.ts                     | TypeScript |         15 |          0 |          2 |         17 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/src/lib/lick-app-widget-stats14.service.spec.ts               | TypeScript |          9 |          0 |          4 |         13 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/src/lib/lick-app-widget-stats14.service.ts                    | TypeScript |          7 |          0 |          3 |         10 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/src/public-api.ts                                             | TypeScript |          3 |          3 |          2 |          8 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/src/test.ts                                                   | TypeScript |         14 |          4 |          4 |         22 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/tsconfig.lib.json                                             | JSON       |         22 |          4 |          0 |         26 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/tsconfig.lib.prod.json                                        | JSON       |          9 |          1 |          1 |         11 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/tsconfig.spec.json                                            | JSON       |         16 |          1 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats14/tslint.json                                                   | JSON       |         17 |          0 |          1 |         18 |
| /Users/tyshowers/Dropbox/angular/notch-app/projects/lick-app-widget-stats15/README.md                                                     | Markdown   |         13 |          0 |         12 |         25 |
